iter	Passed	Remaining
0	11	11091
1	22	11048
2	31	10497
3	41	10369
4	50	9984
5	58	9752
6	66	9466
7	76	9490
8	86	9483
9	95	9452
10	105	9514
11	115	9488
12	125	9507
13	135	9542
14	146	9610
15	154	9500
16	165	9547
17	174	9499
18	182	9430
19	191	9384
20	200	9335
21	209	9293
22	219	9317
23	230	9363
24	240	9371
25	248	9324
26	257	9264
27	266	9240
28	274	9207
29	284	9187
30	293	9178
31	301	9112
32	309	9056
33	319	9086
34	328	9050
35	336	9016
36	346	9021
37	356	9013
38	364	8969
39	372	8949
40	383	8966
41	394	8989
42	403	8974
43	413	8987
44	424	9008
45	436	9042
46	447	9075
47	457	9083
48	467	9072
49	476	9049
50	487	9068
51	498	9084
52	507	9068
53	518	9077
54	529	9091
55	538	9071
56	547	9064
57	556	9043
58	565	9019
59	575	9017
60	587	9038
61	597	9042
62	608	9047
63	617	9037
64	628	9035
65	638	9039
66	648	9034
67	657	9015
68	668	9022
69	680	9043
70	690	9040
71	700	9025
72	709	9014
73	719	9004
74	730	9013
75	741	9014
76	749	8987
77	758	8967
78	768	8962
79	780	8972
80	790	8963
81	800	8961
82	809	8941
83	818	8920
84	828	8919
85	839	8925
86	849	8912
87	861	8926
88	871	8916
89	882	8919
90	891	8902
91	902	8905
92	913	8911
93	928	8944
94	938	8941
95	951	8958
96	961	8952
97	971	8940
98	983	8952
99	996	8968
100	1006	8961
101	1019	8971
102	1032	8994
103	1044	9002
104	1055	8994
105	1067	9001
106	1077	8996
107	1090	9004
108	1100	8998
109	1112	9002
110	1124	9002
111	1138	9026
112	1154	9063
113	1174	9129
114	1192	9177
115	1209	9218
116	1223	9234
117	1239	9266
118	1250	9256
119	1261	9254
120	1270	9232
121	1279	9208
122	1287	9180
123	1297	9165
124	1306	9148
125	1316	9132
126	1326	9118
127	1336	9107
128	1344	9075
129	1352	9050
130	1361	9031
131	1369	9008
132	1380	8996
133	1390	8986
134	1399	8968
135	1408	8949
136	1418	8935
137	1427	8918
138	1437	8905
139	1450	8908
140	1460	8895
141	1471	8888
142	1482	8887
143	1493	8879
144	1505	8876
145	1517	8874
146	1530	8880
147	1540	8871
148	1550	8856
149	1559	8836
150	1570	8830
151	1581	8821
152	1590	8804
153	1600	8793
154	1610	8778
155	1620	8766
156	1630	8754
157	1640	8742
158	1649	8723
159	1657	8703
160	1667	8687
161	1677	8675
162	1687	8665
163	1698	8657
164	1708	8646
165	1718	8634
166	1728	8620
167	1738	8610
168	1748	8599
169	1760	8595
170	1770	8581
171	1780	8571
172	1792	8568
173	1804	8565
174	1815	8560
175	1826	8553
176	1837	8543
177	1847	8533
178	1857	8521
179	1868	8510
180	1878	8501
181	1890	8495
182	1900	8483
183	1913	8483
184	1922	8471
185	1933	8462
186	1943	8450
187	1953	8436
188	1963	8425
189	1973	8414
190	1984	8405
191	1995	8396
192	2006	8388
193	2016	8379
194	2028	8374
195	2039	8367
196	2048	8350
197	2057	8335
198	2068	8326
199	2078	8313
200	2088	8302
201	2099	8292
202	2109	8283
203	2119	8268
204	2129	8259
205	2138	8243
206	2148	8229
207	2158	8219
208	2169	8211
209	2179	8200
210	2191	8192
211	2200	8178
212	2210	8167
213	2220	8155
214	2230	8145
215	2242	8138
216	2253	8132
217	2262	8114
218	2272	8105
219	2284	8099
220	2295	8091
221	2307	8088
222	2319	8082
223	2330	8074
224	2341	8065
225	2352	8057
226	2363	8049
227	2373	8037
